epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1163.14,0.59984,0.82938,0.47616,0.8625,0.90173,0.90335,0.94062,0.82728,0.95424,0.85502,0.93826,0.80138,0.55282,0.80118,0.4314,0.84986,0.00120491,0.00120491,0.00120491
44,1191.04,0.60225,0.84117,0.46518,0.85758,0.95167,0.87837,0.94108,0.82496,0.95317,0.87732,0.94229,0.80428,0.54498,0.81081,0.44585,0.84606,0.00119391,0.00119391,0.00119391
45,1218.14,0.60904,0.84567,0.47269,0.86584,0.96658,0.86025,0.93992,0.82997,0.97075,0.86365,0.9415,0.83194,0.54704,0.79457,0.46208,0.84543,0.0011829,0.0011829,0.0011829
46,1271.72,0.59972,0.83451,0.45862,0.86506,0.95926,0.8754,0.94318,0.81749,0.9682,0.86989,0.94598,0.79235,0.54253,0.7965,0.41551,0.84923,0.0011719,0.0011719,0.0011719
47,1312.18,0.58942,0.86048,0.45426,0.85818,0.95505,0.87361,0.94099,0.82818,0.95505,0.87361,0.94124,0.81898,0.56163,0.7989,0.47035,0.85049,0.0011609,0.0011609,0.0011609
48,1346.25,0.59209,0.80822,0.44931,0.85725,0.93788,0.89807,0.93865,0.82008,0.934,0.89435,0.94205,0.80495,0.54513,0.80887,0.43283,0.84491,0.0011499,0.0011499,0.0011499
49,1372.37,0.58763,0.81685,0.45226,0.85901,0.92091,0.90335,0.94602,0.82944,0.92091,0.90335,0.94422,0.80696,0.53698,0.8017,0.40623,0.8492,0.00113889,0.00113889,0.00113889
50,1402.94,0.58529,0.8192,0.45286,0.86542,0.9357,0.87361,0.93737,0.82114,0.9292,0.87815,0.94241,0.82132,0.54358,0.79468,0.46057,0.85071,0.00112789,0.00112789,0.00112789
51,1430.24,0.5783,0.79517,0.44889,0.85546,0.93573,0.89591,0.94828,0.82389,0.93961,0.89963,0.95218,0.81375,0.5505,0.79394,0.41249,0.85161,0.00111689,0.00111689,0.00111689
52,1456.87,0.58373,0.82921,0.44382,0.85303,0.94985,0.88476,0.94459,0.82823,0.95651,0.88476,0.9431,0.82022,0.551,0.76813,0.43264,0.84529,0.00110589,0.00110589,0.00110589
